Feature,Coefficient,Abs_Coefficient
flag_fraude_instantanea,0.3785007984905899,0.3785007984905899
grafo_taxa_suspeita_vendedor,0.3418139489648086,0.3418139489648086
grafo_pagerank,-0.2313779011546543,0.2313779011546543
grafo_peso_medio_conexoes,0.16981357918310921,0.16981357918310921
grafo_closeness,-0.1050936488414377,0.1050936488414377
grafo_num_vizinhos,0.09696802053948347,0.09696802053948347
grafo_num_suspeitos,0.07746162043434207,0.07746162043434207
possui_reviews_texto,0.07491978268047156,0.07491978268047156
grafo_peso_total_conexoes,-0.07423987801262867,0.07423987801262867
grafo_num_produtos,0.06732043671170483,0.06732043671170483
contagem_reuso_imagem,0.061326173733659825,0.061326173733659825
grafo_num_conexoes,0.05727727999914937,0.05727727999914937
vendedor_reputacao_num,-0.05122113160631765,0.05122113160631765
grafo_taxa_suspeita_comunidade,-0.04526924989622913,0.04526924989622913
embedding_titulo,0.04393644044210745,0.04393644044210745
quantidade_por_anuncio,-0.041101834869218444,0.041101834869218444
grafo_vizinhos_suspeitos,-0.040770854675207,0.040770854675207
sentimento_medio_reviews,-0.03758637899552988,0.03758637899552988
grafo_comunidade_id,0.035717812677251666,0.035717812677251666
grafo_tamanho_comunidade,0.030646423897758648,0.030646423897758648
vendedor_total_transacoes,0.027961324862471996,0.027961324862471996
origem_envio,-0.027622643626959115,0.027622643626959115
grafo_total_produtos_comunidade,0.025498136456518612,0.025498136456518612
logistic_type,-0.025112074978253646,0.025112074978253646
cores_detalhadas,-0.023306771457997692,0.023306771457997692
embedding_reviews,-0.0198354504545663,0.0198354504545663
total_reviews_produto,-0.01715487194375792,0.01715487194375792
marca,-0.01590841497034668,0.01590841497034668
grafo_taxa_suspeita_vizinhos,0.015644312911601618,0.015644312911601618
rating_medio_produto,0.015467787564595383,0.015467787564595383
contagem_alegacao_fraude,-0.014027294499335138,0.014027294499335138
modelo,0.013124262095416093,0.013124262095416093
official_store_id,-0.012606890782231327,0.012606890782231327
tipo_cartucho,0.011662262466418322,0.011662262466418322
embedding_descricao,-0.00789727281783592,0.00789727281783592
num_reviews_analisadas,0.007046741846360148,0.007046741846360148
e_loja_oficial,0.005422279731708873,0.005422279731708873
grafo_total_suspeitos_comunidade,-0.0034919589607096306,0.0034919589607096306
grafo_betweenness,0.0026187782642733935,0.0026187782642733935
perc_reviews_negativas,-0.0024868076167950753,0.0024868076167950753
rating_ponderado,-0.0020809193377788766,0.0020809193377788766
contagem_performance_negativa,0.0015476389423616566,0.0015476389423616566
vendedor_lider,0.0,0.0
flag_inconsistencia_xl,0.0,0.0
condicao,0.0,0.0
flag_vendedor_novo,0.0,0.0
flag_loja_oficial_suspeita,0.0,0.0
flag_imagem_muito_reutilizada,0.0,0.0
flag_imagem_reutilizada,0.0,0.0
flag_reputacao_muito_ruim,0.0,0.0
flag_reputacao_ruim,0.0,0.0
flag_reviews_muito_negativas,0.0,0.0
flag_reviews_negativas,0.0,0.0
num_imagens_produto,0.0,0.0
